supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-03-27T15:10:53.633826,Next Pledge Tracker 12m v10,23.08,,,53.95,5.24,28.74,25,,
eon_next,East Midlands,DE23 6JJ,2026-03-27T15:12:12.182214,Next Pledge Tracker 12m v10,21.82,,,53.61,5.16,28.82,25,,
eon_next,London,N5 2SD,2026-03-27T15:12:59.955769,Next Pledge Tracker 12m v10,23.04,,,44.83,5.48,29.6,25,,
eon_next,North Wales & Merseyside,L3 2BN,2026-03-27T15:14:22.930456,Next Pledge Tracker 12m v10,24.34,,,70.78,5.26,29.48,25,,
eon_next,West Midlands,SY2 6HL,2026-03-27T15:15:03.066868,Next Pledge Tracker 12m v10,22.04,,,59.72,5.25,29.11,25,,
eon_next,North East,NE2 1UY,2026-03-27T15:16:25.136800,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North West,PR4 2NB,2026-03-27T15:19:03.530987,Next Pledge Tracker 12m v10,22.85,,,47.63,5.21,29.22,25,,
eon_next,South East,BN2 7HQ,2026-03-27T15:19:46.296878,Next Pledge Tracker 12m v10,23.37,,,54.45,5.36,28.67,25,,
eon_next,Southern,BH6 4AS,2026-03-27T15:21:30.462941,,,,,,,,,,No valid residential addresses found
eon_next,South Wales,CF14 2DY,2026-03-27T15:23:25.427650,,,,,,,,,,No valid residential addresses found
eon_next,South West,PL9 7BS,2026-03-27T15:23:54.590464,Next Pledge Tracker 12m v10,23.11,,,57.9,5.45,28.72,25,,
eon_next,Yorkshire,YO31 1DT,2026-03-27T15:24:31.777908,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North Scotland,AB24 3EN,2026-03-27T15:27:05.450313,,,,,,,,,,Could not extract rates
eon_next,South Scotland,G20 6NQ,2026-03-27T15:28:27.370249,Next Pledge Tracker 12m v10,22.54,,,64.2,5.21,29.3,25,,
british_gas,Eastern,IP4 5ET,2026-03-27T15:11:02.704236,Fixed Tariff Mar27 v6,25.663,,,46.855,6.867,32.28,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-03-27T15:12:08.471445,Fixed Tariff Mar27 v6,24.705,,,47.688,6.932,32.363,£50 per fuel,,
british_gas,London,N5 2SD,2026-03-27T15:13:11.530231,Fixed Tariff Mar27 v6,24.585,,,44.659,7.378,33.183,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-03-27T15:15:31.314243,Fixed Tariff Mar27 v6,27.224,,,68.55,7.246,33.046,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-03-27T15:16:29.181278,Fixed Tariff Mar27 v6,25.018,,,51.603,7.017,32.667,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-03-27T15:17:41.636940,Fixed Tariff Mar27 v6,25.323,,,58.468,6.943,32.757,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-03-27T15:20:24.035233,Fixed Tariff Mar27 v6,24.796,,,49.76,7.006,32.786,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-03-27T15:21:20.517771,Fixed Tariff Mar27 v6,26.518,,,46.198,7.162,32.214,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-03-27T15:22:17.807153,Fixed Tariff Mar27 v6,25.881,,,43.226,7.367,32.093,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-03-27T15:24:38.024522,Fixed Tariff Mar27 v6,26.244,,,50.292,7.238,32.912,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-03-27T15:25:30.475549,Fixed Tariff Mar27 v6,25.774,,,52.635,7.355,32.254,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-03-27T15:26:37.299398,Fixed Tariff Mar27 v6,25.323,,,58.468,6.943,32.757,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-03-27T15:30:12.238669,Fixed Tariff Mar27 v6,25.592,,,59.601,6.889,32.826,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-03-27T15:31:13.483105,Fixed Tariff Mar27 v6,26.003,,,55.153,6.889,32.857,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-03-27T15:11:03.641125,1 Year Fixed,31.12,,,64.72,8.87,26.07,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2026-03-27T15:12:37.815426,1 Year Fixed,30.08,,,64.4,8.81,26.16,£50 per fuel,12,
ovo,London,N5 2SD,2026-03-27T15:14:13.255299,1 Year Fixed,30.82,,,56.21,9.16,26.78,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-03-27T15:17:13.263829,1 Year Fixed,32.4,,,80.72,8.98,26.75,£50 per fuel,12,
ovo,West Midlands,SY2 6HL,2026-03-27T15:18:42.562287,1 Year Fixed,30.21,,,70.17,8.89,26.39,£50 per fuel,12,
ovo,North East,NE2 1UY,2026-03-27T15:20:08.750593,1 Year Fixed,30.18,,,74.51,8.98,26.5,£50 per fuel,12,
ovo,North West,PR4 2NB,2026-03-27T15:23:20.952499,1 Year Fixed,34.2,,23.7,58.35,8.82,26.52,£50 per fuel,12,
ovo,South East,BN2 7HQ,2026-03-27T15:25:12.123668,1 Year Fixed,31.37,,,65.19,9.01,26.04,£50 per fuel,12,
ovo,Southern,BH6 4AS,2026-03-27T15:26:49.527652,1 Year Fixed,30.81,,,60.72,9.22,25.92,£50 per fuel,12,
ovo,South Wales,CF14 2DY,2026-03-27T15:29:43.018314,1 Year Fixed,31.21,,,68.45,9.02,26.67,£50 per fuel,12,
ovo,South West,PL9 7BS,2026-03-27T15:31:20.800707,1 Year Fixed,31.16,,,68.47,9.14,26.04,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2026-03-27T15:32:55.153092,1 Year Fixed,30.18,,,74.51,8.98,26.5,£50 per fuel,12,
ovo,North Scotland,AB24 3EN,2026-03-27T15:35:51.162065,1 Year Fixed,30.88,,,68.22,8.99,26.58,£50 per fuel,12,
ovo,South Scotland,G20 6NQ,2026-03-27T15:37:22.471107,1 Year Fixed,30.88,,,74.42,8.99,26.6,£50 per fuel,12,
octopus,Eastern,IP4 5ET,2026-02-09T19:00:56.035644,Agile Octopus,19.9605,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-02-09T19:00:56.036644,Agile Octopus,19.005,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-02-09T19:00:56.036644,Agile Octopus,19.005,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:00:56.036644,Agile Octopus,20.9055,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-02-09T19:00:56.037169,Agile Octopus,19.9605,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2026-02-09T19:00:56.037169,Agile Octopus,19.9605,,,70.04823,,,£0,,
octopus,North West,PR4 2NB,2026-02-09T19:00:56.037169,Agile Octopus,19.9605,,,49.98336,,,£0,,
octopus,Southern,BH6 4AS,2026-02-09T19:00:56.038207,Agile Octopus,19.9605,,,62.224785,,,£0,,
octopus,South East,BN2 7HQ,2026-02-09T19:00:56.038207,Agile Octopus,20.9055,,,55.78566,,,£0,,
octopus,South Wales,CF14 2DY,2026-02-09T19:00:56.038207,Agile Octopus,20.9055,,,62.064135,,,£0,,
octopus,South West,PL9 7BS,2026-02-09T19:00:56.038207,Agile Octopus,21.861,,,66.066105,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-02-09T19:00:56.038207,Agile Octopus,19.005,,,66.26277,,,£0,,
